,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Analise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
0,Mestrado/Doutorado,Simulação das interações modeladas,47101159582-3,"1,005E+11",1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,25.0
1,Mestrado/Doutorado,Redes de Comunicação,47101147117-9,"1,007E+11",0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,34.0
2,Autoavaliação,,47102146115-6,"1,016E+11",0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,29.0
3,Mestrado/Doutorado,Sistemas de Computação,47101171407-0,"1,055E+11",1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,23.0
4,Mestrado/Doutorado,Bancos de Dados,47101167055-5,"1,018E+11",0.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,36.0
5,Mestrado/Doutorado,Computação Aplicada,47101174606-4,"1,052E+11",0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,29.0
6,Mestrado/Doutorado,"Robótica, Visão computacional e Processamento gráfico",47101156912-6,"1,053E+11",1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,34.0
7,Autoavaliação,,47102176759-9,"1,032E+11",0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,27.0
8,Mestrado/Doutorado,Sistemas de Informação e Banco de Dados,47101147437-7,"1,01E+11",2.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,37.0
9,Mestrado/Doutorado,Segurança Computacional,47101175736-2,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Mestrado/Doutorado,Sistemas Inteligentes,47101173117-0,"1,011E+11",1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,23.0
11,Mestrado/Doutorado,Sistemas de Computação,47101171398-7,"1,007E+11",1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,26.0
12,Mestrado/Doutorado,Engenharia de software,47101175830-0,"1,029E+11",1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,28.0
13,Mestrado/Doutorado,Computação Aplicada a Biociências,47101153709-4,"1,053E+11",0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,25.0
14,Mestrado/Doutorado,Redes e Sistemas Distribuidos,47101157838-1,"1,03E+11",0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,25.0
15,Mestrado/Doutorado,Redes de Computadores e Sistemas Distribuídos,47101147655-8,"1,036E+11",0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,39.0
16,Mestrado/Doutorado,Aprendizado de Maquina e Interação,47101172860-5,"1,055E+11",0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,23.0
17,Mestrado/Doutorado,Modelos Analíticos e de Simulação,47101147748-7,"1,046E+11",1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,21.0
18,Mestrado/Doutorado,Metodologia e Técnicas da Computação\Banco de Dados,47101175318-7,"1,019E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
19,Mestrado/Doutorado,Projeto de Redes e Segurança de Dados,47101172833-0,"1,008E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
20,Autoavaliação,,47102146757-2,"1,055E+11",1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,39.0
21,Mestrado/Doutorado,Ciência Computacional,47101174257-6,"1,019E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mestrado/Doutorado,Computação Aplicada a Biociências,47101171572-5,"1,053E+11",0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,23.0
23,Mestrado/Doutorado,Inteligência Artificial,47101171708-2,"1,045E+11",1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,25.0
24,Mestrado/Doutorado,"Banco de Dados/Computação Gráfica, Imagens e Visualização",47101170810-1,"1,018E+11",2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,31.0
25,Mestrado/Doutorado,Robótica,47101164731-0,"1,012E+11",0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,22.0
26,Mestrado/Doutorado,Engenharia de Software,47101174373-0,"1,023E+11",1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,30.0
27,Mestrado/Doutorado,Sistemas Computacionais Complexos,47101173456-4,"1,03E+11",2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,27.0
28,Mestrado/Doutorado,Computação Paralela e Distribuída,47101174577-4,"1,024E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mestrado/Doutorado,Segurança em Sistemas Computacionais,47101148495-2,"1,018E+11",0.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,27.0
30,Mestrado/Doutorado,Computação Aplicada\Sistemas de Informação,47101174109-8,"1,041E+11",1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,23.0
31,Mestrado/Doutorado,Engenharia de Software,47101146446-9,"1,007E+11",0.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,31.0
32,Mestrado/Doutorado,Gerenciamento de Dados e Informações,47101146156-5,"1,008E+11",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,28.0
33,Mestrado/Doutorado,Agentes Inteligentes e Representac?a?o do Conhecimento,47101147441-5,"1,007E+11",1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,20.0
34,Mestrado/Doutorado,Sistemas de Informação,47101166603-1,"1,047E+11",2.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,35.0
35,Mestrado/Doutorado,DESENVOLVIMENTO DE JOGOS DIGITAIS,47101175214-0,"1,043E+11",0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,24.0
36,Mestrado/Doutorado,Teoria,47101145937-0,"1,026E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mestrado/Doutorado,Sistemas computacionais,47101146462-5,"1,019E+11",0.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,27.0
38,Mestrado/Doutorado,Sistemas computacionais,47101147663-6,"1,045E+11",0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,28.0
39,Mestrado/Doutorado,Segurança e Sistemas Distribuídos.,47101174708-1,"1,012E+11",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0
40,Mestrado/Doutorado,Engenharia de software,47101174427-6,"1,01E+11",1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,31.0
41,Mestrado/Doutorado,Otimização,47101174389-8,"1,049E+11",0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,20.0
42,Mestrado/Doutorado,Redes de Computadores,47101173631-2,"1,025E+11",2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,27.0
43,Mestrado/Doutorado,Aplicações distribuídas,47101175778-5,"1,012E+11",0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0
44,Mestrado/Doutorado,Processamento Grafico,47101173860-1,"1,046E+11",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0
45,Mestrado/Doutorado,Banco de Dados,47101173979-7,"1,052E+11",1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,26.0
46,Mestrado/Doutorado,Computação Aplicada a Biociências,47101148528-2,"1,053E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
47,Mestrado/Doutorado,"Arquitetura de Computadores, Compiladores e Design de Hardware",47101146250-2,"1,008E+11",3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,49.0
48,Mestrado/Doutorado,Sistemas Computacionais Complexos,47101176797-8,"1,053E+11",0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,16.0
49,Mestrado/Doutorado,ENGENHARIA DE SISTEMAS WEB,47101173783-0,"1,033E+11",0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,30.0
50,Mestrado/Doutorado,Engenharia de Software,47101173567-0,"1,007E+11",0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,21.0
51,Mestrado/Doutorado,Sistemas de Computação,47101172637-6,"1,032E+11",0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,25.0
52,Mestrado/Doutorado,Modelagem Computacional,47101151862-8,"1,054E+11",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.0
53,Mestrado/Doutorado,Sistemas Embarcados,47101146814-3,"1,018E+11",2.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,39.0
54,Mestrado/Doutorado,Educação em Engenharia de Software,47101173665-7,"1,016E+11",1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,21.0
55,Mestrado/Doutorado,Engenharia de Software e Sistemas de Computação,47101171232-0,"1,026E+11",0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,23.0
56,Mestrado/Doutorado,Agentes Inteligentes e Representac?a?o do Conhecimento,47101146866-4,"1,056E+11",0.0,2.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,30.0
57,Mestrado/Doutorado,Inteligência Computacional,47101148438-3,"1,019E+11",0.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,34.0
58,Mestrado/Doutorado,Otimização e Raciocínio Automático,47101149623-6,"1,007E+11",1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,34.0
59,Mestrado/Doutorado,Infraestrutura de TI,47101173098-8,"1,02E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
60,Mestrado/Doutorado,Computação Inteligente,47101146184-0,"1,003E+11",0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,26.0
61,Mestrado/Doutorado,Inteligência Computacional,47101145911-4,"1,016E+11",1.0,3.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,29.0
62,Mestrado/Doutorado,Sistemas de Computação\Arquitetura de Sistemas de Computação  e Sistemas Operacionais,47101150045-7,"1,019E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
63,Mestrado/Doutorado,Engenharia de Software,47101166590-8,"1,02E+11",1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0
64,Mestrado/Doutorado,Gestão da Informação,47101172858-7,"1,007E+11",0.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,27.0
65,Mestrado/Doutorado,Segurança em Sistemas Computacionais,47101175396-2,"1,014E+11",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0
66,Autoavaliação,,47102175793-5,"1,027E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
67,Mestrado/Doutorado,Otimização,47101176893-5,"1,053E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mestrado/Doutorado,Inteligência Artificial,47101165340-6,"1,014E+11",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,16.0
69,Mestrado/Doutorado,Ciência de Dados e Engenharia de Software,47101172879-3,"1,048E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
70,Mestrado/Doutorado,Segurança em Sistemas Computacionais,47101145971-3,"1,04E+11",1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,26.0
71,Mestrado/Doutorado,ENGENHARIA DE SOFTWARE,47101175094-0,"1,033E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
72,Mestrado/Doutorado,Visualização de Informações,47101175562-2,"1,036E+11",0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,21.0
73,Mestrado/Doutorado,Métricas de Software e Gerência de Projetos,47101163651-3,"1,016E+11",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,20.0
74,Mestrado/Doutorado,Gerenciamento de Dados e Informações,47101154629-0,"1,05E+11",1.0,3.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,37.0
75,Mestrado/Doutorado,Computação Paralela e Distribuída,47101146970-0,"1,024E+11",1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,29.0
76,Mestrado/Doutorado,Ciência Computacional,47101174134-2,"1,019E+11",2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,30.0
77,Mestrado/Doutorado,Segurança em Sistemas Computacionais,47101174829-5,"1,018E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mestrado/Doutorado,Projeto de Redes e Segurança de Dados,47101153122-7,"1,053E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
79,Mestrado/Doutorado,Sistemas Interativos e de Informação,47101176522-6,"1,04E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
80,Mestrado/Doutorado,Processamento Paralelo e Distribuído,47101155317-6,"1,005E+11",1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,20.0
81,Mestrado/Doutorado,Fundamentos e Métodos de Computação,47101148080-5,"1,02E+11",1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,20.0
82,Mestrado/Doutorado,Sistemas de Computação,47101165570-5,"1,053E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
83,Mestrado/Doutorado,Inteligência artificial,47101175997-6,"1,008E+11",2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,36.0
84,Mestrado/Doutorado,"Sistemas Distribuídos e Programação Concorrente/Sistemas Embarcados, Evoluídos e Robóticos",47101176534-4,"1,027E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
85,Mestrado/Doutorado,Sistemas de Computação\Visualização e Interação,47101171535-2,"1,004E+11",1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,33.0
86,Mestrado/Doutorado,Redes e Sistemas Distribuidos,47101177267-3,"1,01E+11",0.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,35.0
87,Mestrado/Doutorado,Sistemas de Computação\Redes de Computadores,47101158141-5,"1,008E+11",1.0,3.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,36.0
88,Mestrado/Doutorado,Redes de Computadores e Sistemas Distribuídos,47101175532-8,"1,014E+11",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,21.0
89,Mestrado/Doutorado,Inteligência Computacional,47101146099-0,"1,041E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
90,Autoavaliação,,47102172836-4,"1,053E+11",1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,29.0
91,Autoavaliação,,47102174938-4,"1,016E+11",0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0,28.0
92,Mestrado/Doutorado,Computação Visual e Inteligência Artificial,47101146056-8,"1,05E+11",1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,46.0
93,Mestrado/Doutorado,Arquitetura de Sistemas Computacionais,47101173499-7,"1,035E+11",0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,31.0
94,Autoavaliação,,47102173377-7,"1,037E+11",1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,23.0
95,Mestrado/Doutorado,LINGUAGENS DE PROGRAMAÇÃO E MÉTODOS FORMAIS,47101150931-4,"1,046E+11",2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,43.0
96,Mestrado/Doutorado,Arquitetura de Sistemas Computacionais,47101174417-8,"1,052E+11",0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,31.0
97,Mestrado/Doutorado,Computação Gráfica e Processamento de Imagens,47101173249-1,"1,04E+11",0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,21.0
98,Mestrado/Doutorado,Sistemas de Computação,47101165957-8,"1,012E+11",0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,24.0
99,Mestrado/Doutorado,Processamento de Imagens e Sinais,47101146183-0,"1,036E+11",0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,22.0
100,Mestrado/Doutorado,Redes de computadores e de telecomunicações,47101175018-5,"1,016E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mestrado/Doutorado,Tecnologia da Informação,47101155086-1,"1,021E+11",0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,22.0
102,Mestrado/Doutorado,Computação Aplicada,47101173179-9,"1,035E+11",1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,35.0
