,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Analise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
1395,Mestrado/Doutorado,Ciência de Dados e Engenharia de Software,47101169440-9,"1,02001E+11",0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,26.0
1396,Mestrado/Doutorado,Segurança em Sistemas Computacionais,47101176501-0,"1,01801E+11",0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,28.0
1397,Mestrado/Doutorado,Redes de Computadores,47101171541-0,"1,056E+11",0.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,35.0
1398,Mestrado/Doutorado,Sistemas Embarcados,47101146475-3,"1,008E+11",2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,34.0
1399,Mestrado/Doutorado,Sistemas de Computação\Computação Aplicada,47101146956-3,"1,05401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1400,Mestrado/Doutorado,Modelagem e Métodos Computacionais,47101149423-1,"1,01602E+11",0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,27.0
1401,Mestrado/Doutorado,Sistemas de Computação\Computação Aplicada,47101148645-6,"1,052E+11",0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0
1402,Mestrado/Doutorado,"Computação Pervasiva, Modelagem e Simulação",47101146458-7,"1,05303E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1403,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação/Sistemas Web e Multimídia Interativos,47101174199-1,"1,05303E+11",1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,48.0
1404,Mestrado/Doutorado,Sistemas de Computação,47101171621-1,"1,05401E+11",1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,29.0
1405,Mestrado/Doutorado,Computação Aplicada a Biociências,47101164301-7,"1,015E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1406,Mestrado/Doutorado,Modelos Computacionais e Cognitivos,47101161391-1,"1,01E+11",1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,23.0
1407,Mestrado/Doutorado,Computação Aplicada a Biociências,47101171891-3,"1,011E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1408,Autoavaliação,,47102175991-0,"1,01602E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1409,Mestrado/Doutorado,Reconhecimento de Padro?es e Processamento de Sinais,47101174833-3,"1,05401E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1410,Mestrado/Doutorado,Fundamentos e Métodos de Computação,47101173920-6,"1,034E+11",1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,43.0
1411,Mestrado/Doutorado,Outras\Inteligência Artificial,47101170068-4,"1,046E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1412,Mestrado/Doutorado,Teoria da Computação,47101176605-7,"1,006E+11",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,23.0
1413,Mestrado/Doutorado,Modelos Computacionais e Cognitivos,47101160103-7,"1,01E+11",1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,27.0
1414,Mestrado/Doutorado,Sistemas de Informação,47101177123-3,"1,013E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1415,Mestrado/Doutorado,Programação Paralela,47101160851-9,"1,008E+11",0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0,28.0
1416,Mestrado/Doutorado,"Arquitetura de Computadores, Compiladores e Design de Hardware",47101173914-8,"1,011E+11",1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,3.0,24.0
1417,Mestrado/Doutorado,Gestão da Informação,47101155267-0,"1,00701E+11",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0
1418,Mestrado/Doutorado,Inteligência Artificial,47101163997-8,"1,05501E+11",1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,3.0,29.0
1419,Mestrado/Doutorado,Projeto de Redes e Segurança de Dados,47101154866-7,"1,045E+11",2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,30.0
1420,Mestrado/Doutorado,Sistemas Computacionais Complexos,47101172163-4,"1,05303E+11",1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,25.0
1421,Mestrado/Doutorado,Sistemas de Computação\Redes e Sistemas Distribuídos,47101167659-9,"1,002E+11",1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,25.0
1422,Mestrado/Doutorado,Inteligência Computacional,47101151022-7,"1,04001E+11",0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,3.0,37.0
1423,Mestrado/Doutorado,Sistemas de Computação,47101173438-8,"1,032E+11",0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,25.0
1424,Mestrado/Doutorado,"Algoritmos, Grafos e Combinatória",47101175661-0,"1,011E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1425,Mestrado/Doutorado,Teoria da Computação,47101175397-2,"1,014E+11",1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,14.0
1426,Mestrado/Doutorado,Mineração de Dados,47101176751-5,"1,01602E+11",0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,30.0
1427,Mestrado/Doutorado,Banco de Dados e Imagens,47101175099-0,"1,05501E+11",1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,23.0
1428,Mestrado/Doutorado,Engenharia de Software,47101174312-0,"1,00701E+11",0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,14.0
1429,Autoavaliação,,47102174615-6,"1,01602E+11",1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,38.0
1430,Mestrado/Doutorado,"Análise de Dados, Descoberta de Conhecimento e Recuperação de Informação",47101146389-4,"1,008E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1431,Mestrado/Doutorado,Sistemas de Computação,47101162277-4,"1,006E+11",1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,35.0
1432,Mestrado/Doutorado,Inteligência Artificial,47101172849-9,"1,05501E+11",0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,23.0
1433,Mestrado/Doutorado,"Arquitetura de Computadores, Compiladores e Design de Hardware",47101173047-7,"1,012E+11",0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0
1434,Mestrado/Doutorado,Otimização,47101173023-0,"1,019E+11",0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,20.0
1435,Mestrado/Doutorado,Informática e Educação,47101152900-2,"1,056E+11",0.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,31.0
1436,Mestrado/Doutorado,Engenharia de Software,47101168006-0,"1,05001E+11",1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,28.0
1437,Mestrado/Doutorado,Sistemas Distribui?dos,47101147274-5,"1,034E+11",0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,3.0,31.0
1438,Mestrado/Doutorado,Sistemas de Computação\Computação Aplicada,47101172293-6,"1,00701E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
