,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6169,42101835044-9,M,Icó,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6170,42101810352-6,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6171,42101826845-8,F,Guarapari,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6172,42101831978-3,F,São Mateus,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6173,42101811179-4,F,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6174,42101812474-2,M,Pelotas,RS,1-Mestrado/Doutorado,1,Pelotas - RS,2017
6175,42101835139-8,M,Passos,MG,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
6176,42101809771-3,M,Ocara,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6177,42101824387-1,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6178,42101809794-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6179,42101818669-7,M,Ponta Porã,MS,1-Mestrado/Doutorado,1,Ponta Porã - MS,2017
6180,42102830415-5,M,Londrina,PR,2-Autoavaliação,2,Londrina - PR,2017
6181,42101834880-3,M,Belém,PA,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6182,42101827491-6,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
6183,42101810958-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6184,42101829415-3,M,Presidente Prudente,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
6185,42101811422-5,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6186,42101819454-0,M,Blumenau,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6187,42101812106-3,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6188,42101834090-3,M,Florianópolis,SC,1-Mestrado/Doutorado,1,Florianópolis - SC,2017
6189,42101832875-2,M,Ananindeua,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6190,42101835745-0,M,Goiânia,GO,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6191,42101811031-4,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6192,42101826746-0,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6193,42101811413-7,M,Curitiba,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
